,activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
309,tanh,50,5,0.3,32,rmsprop,0.7334307829538981,0.07829791933803584
310,tanh,50,5,0.3,32,adam,0.8133528431256613,0.006891880766400399
311,tanh,50,5,0.3,32,sgd,0.8099415302276611,0.0062026674016512524
312,tanh,50,5,0.3,64,rmsprop,0.7207602262496948,0.06721968663809032
313,tanh,50,5,0.3,64,adam,0.8075048526128134,0.00794810024783801
314,tanh,50,5,0.3,64,sgd,0.8094541827837626,0.007766748448575426
315,tanh,50,10,0.001,8,rmsprop,0.780701756477356,0.01671190323916165
316,tanh,50,10,0.001,8,adam,0.6700779696305593,0.1348010000315445
317,tanh,50,10,0.001,8,sgd,0.48440544803937274,0.037792387957657006
318,tanh,50,10,0.001,32,rmsprop,0.7870370348294576,0.004192175723610567
319,tanh,50,10,0.001,32,adam,0.7982456088066101,0.00782768816813859
320,tanh,50,10,0.001,32,sgd,0.5550682147343954,0.07589519471623796
321,tanh,50,10,0.001,64,rmsprop,0.8026315967241923,0.008355955095795264
322,tanh,50,10,0.001,64,adam,0.8036062320073446,0.0067877147949432755
323,tanh,50,10,0.001,64,sgd,0.5092592636744181,0.09072446595458372
324,tanh,50,10,0.01,8,rmsprop,0.8143274784088135,0.009474776945562511
325,tanh,50,10,0.01,8,adam,0.817251443862915,0.011937087647112224
326,tanh,50,10,0.01,8,sgd,0.727582852045695,0.0406095024591374
327,tanh,50,10,0.01,32,rmsprop,0.8075048724810282,0.009722182485832613
328,tanh,50,10,0.01,32,adam,0.8187134663263956,0.009323153522841915
329,tanh,50,10,0.01,32,sgd,0.7080896695454916,0.016895640659580397
330,tanh,50,10,0.01,64,rmsprop,0.8060428897539774,0.0067877147949432755
331,tanh,50,10,0.01,64,adam,0.8128654956817627,0.01060991886369492
332,tanh,50,10,0.01,64,sgd,0.695906420548757,0.0681460198645593
333,tanh,50,10,0.1,8,rmsprop,0.8036062320073446,0.008635494673036273
334,tanh,50,10,0.1,8,adam,0.8138401508331299,0.009117111906714576
335,tanh,50,10,0.1,8,sgd,0.8031189242998759,0.004519317871007263
336,tanh,50,10,0.1,32,rmsprop,0.806530217329661,0.0060082004245275026
337,tanh,50,10,0.1,32,adam,0.8182261188824972,0.010152356779124525
338,tanh,50,10,0.1,32,sgd,0.8045808871587118,0.002756769165299564
339,tanh,50,10,0.1,64,rmsprop,0.772417147954305,0.046021043107374086
340,tanh,50,10,0.1,64,adam,0.8104288578033447,0.013202938761112556
341,tanh,50,10,0.1,64,sgd,0.8075048724810282,0.004519317871007262
342,tanh,50,10,0.2,8,rmsprop,0.804093579451243,0.007454705729113245
343,tanh,50,10,0.2,8,adam,0.8050682147343954,0.010765443197090345
344,tanh,50,10,0.2,8,sgd,0.8094541827837626,0.0056412434142597235
345,tanh,50,10,0.2,32,rmsprop,0.6262183288733164,0.13325943761049228
346,tanh,50,10,0.2,32,adam,0.7962962786356608,0.030721081777843065
347,tanh,50,10,0.2,32,sgd,0.8104288578033447,0.01159393831948959
348,tanh,50,10,0.2,64,rmsprop,0.7295321623484293,0.0480903054618585
349,tanh,50,10,0.2,64,adam,0.7602339188257853,0.04512469005245123
350,tanh,50,10,0.2,64,sgd,0.81725146373113,0.007827662192393036
